date,price
1450137600,2.69
1450224000,2.69
1450310400,2.69
1450396800,2.61
1450483200,2.65
1450569600,2.61
1450656000,2.5
1450742400,2.47
1450828800,2.55
1450915200,2.53
1451001600,2.77
1451088000,2.83
1451174400,2.73
1451260800,2.64
1451347200,3.03
1451433600,3.09
1451520000,3.52
1451606400,3.33
1451692800,3.38
1451779200,3.29
1451865600,3.25
1451952000,3.32
1452038400,3.33
1452124800,3.37
1452211200,3.41
1452297600,3.3
1452384000,3.18
1452470400,3.28
1452556800,3.17
1452643200,3.03
1452729600,3.1
1452816000,3.36
1452902400,3.34
1452988800,3.88
1453075200,4.94
1453161600,4.4
1453248000,3.86
1453334400,4.76
1453420800,5.22
1453507200,5.05
1453593600,4.51
1453680000,4.41
1453766400,3.98
1453852800,4.49
1453939200,4.19
1454025600,4.25
1454112000,4.39
1454198400,4.29
1454284800,4.11
1454371200,4.14
1454457600,4.1
1454544000,4.18
1454630400,4.29
1454716800,4.32
1454803200,4.21
1454889600,4.18
1454976000,4.16
1455062400,3.97
1455148800,3.78
1455235200,3.26
1455321600,3.79
1455408000,3.8
1455494400,3.8
1455580800,3.78
1455667200,3.47
1455753600,3.69
1455840000,3.54
1455926400,3.51
1456012800,3.63
1456099200,4.0
1456185600,4.11
1456272000,3.8
1456358400,4.02
1456444800,3.93
1456531200,3.98
1456617600,4.08
1456704000,4.0
1456790400,3.92
1456876800,3.9
1456963200,3.88
1457049600,4.63
1457136000,4.62
1457222400,4.92
1457308800,4.58
1457395200,4.29
1457481600,4.62
1457568000,4.57
1457654400,4.93
1457740800,5.19
1457827200,5.35
1457913600,5.68
1458000000,5.53
1458086400,5.86
1458172800,6.33
1458259200,5.98
1458345600,5.94
1458432000,5.77
1458518400,6.12
1458604800,5.97
1458691200,6.1
1458777600,6.67
1458864000,6.66
1458950400,7.44
1459036800,7.21
1459123200,7.05
1459209600,7.06
1459296000,7.09
1459382400,6.78
1459468800,6.9
1459555200,7.12
1459641600,7.05
1459728000,7.0
1459814400,6.97
1459900800,7.06
1459987200,7.02
1460073600,6.88
1460160000,6.98
1460246400,6.68
1460332800,6.51
1460419200,6.36
1460505600,6.5
1460592000,6.51
1460678400,6.42
1460764800,6.02
1460851200,6.31
1460937600,6.36
1461024000,6.24
1461110400,6.4
1461196800,6.35
1461283200,6.22
1461369600,6.28
1461456000,6.5
1461542400,6.43
1461628800,6.21
1461715200,6.1
1461801600,6.33
1461888000,6.46
1461974400,6.62
1462060800,6.82
1462147200,6.79
1462233600,6.8
1462320000,6.79
1462406400,6.84
1462492800,6.82
1462579200,6.75
1462665600,6.58
1462752000,6.68
1462838400,6.59
1462924800,6.82
1463011200,6.76
1463097600,6.8
1463184000,6.95
1463270400,6.95
